insurance_id,insurance_code,company_name,plan_name,insurance_type,coverage_percentage,maximum_claim_amount,contact_person,contact_number,email,website,claim_processing_days,cashless_available,company_status
1,INS001,Health Insurer 1,Standard Plan 1,Government,71.0,305295.0,Contact 1,919000000001,claims1@insurer.com,https://insurer1.example.com,7,True,Active
2,INS002,Health Insurer 2,Standard Plan 2,Government,61.0,471785.0,Contact 2,919000000002,claims2@insurer.com,https://insurer2.example.com,13,True,Active
3,INS003,Health Insurer 3,Standard Plan 3,Corporate,91.0,966371.0,Contact 3,919000000003,claims3@insurer.com,https://insurer3.example.com,13,True,Active
4,INS004,Health Insurer 4,Standard Plan 4,Private,66.0,849040.0,Contact 4,919000000004,claims4@insurer.com,https://insurer4.example.com,14,True,Active
5,INS005,Health Insurer 5,Standard Plan 5,Private,83.0,507093.0,Contact 5,919000000005,claims5@insurer.com,https://insurer5.example.com,10,True,Active
6,INS006,Health Insurer 6,Standard Plan 6,Government,86.0,616483.0,Contact 6,919000000006,claims6@insurer.com,https://insurer6.example.com,12,True,Active
7,INS007,Health Insurer 7,Standard Plan 7,Private,74.0,316830.0,Contact 7,919000000007,claims7@insurer.com,https://insurer7.example.com,10,True,Active
8,INS008,Health Insurer 8,Standard Plan 8,Corporate,81.0,916977.0,Contact 8,919000000008,claims8@insurer.com,https://insurer8.example.com,3,True,Active
9,INS009,Health Insurer 9,Standard Plan 9,Corporate,60.0,544053.0,Contact 9,919000000009,claims9@insurer.com,https://insurer9.example.com,8,True,Active
10,INS010,Health Insurer 10,Standard Plan 10,Private,80.0,814034.0,Contact 10,919000000010,claims10@insurer.com,https://insurer10.example.com,11,True,Active
11,INS011,Health Insurer 11,Standard Plan 11,Government,87.0,518268.0,Contact 11,919000000011,claims11@insurer.com,https://insurer11.example.com,10,True,Active
12,INS012,Health Insurer 12,Standard Plan 12,Corporate,70.0,686626.0,Contact 12,919000000012,claims12@insurer.com,https://insurer12.example.com,10,True,Active
13,INS013,Health Insurer 13,Standard Plan 13,Private,69.0,798310.0,Contact 13,919000000013,claims13@insurer.com,https://insurer13.example.com,12,True,Active
14,INS014,Health Insurer 14,Standard Plan 14,Corporate,75.0,305514.0,Contact 14,919000000014,claims14@insurer.com,https://insurer14.example.com,13,True,Active
15,INS015,Health Insurer 15,Standard Plan 15,Private,64.0,821921.0,Contact 15,919000000015,claims15@insurer.com,https://insurer15.example.com,11,True,Active
16,INS016,Health Insurer 16,Standard Plan 16,Corporate,75.0,578701.0,Contact 16,919000000016,claims16@insurer.com,https://insurer16.example.com,4,True,Active
17,INS017,Health Insurer 17,Standard Plan 17,Private,80.0,893704.0,Contact 17,919000000017,claims17@insurer.com,https://insurer17.example.com,5,True,Active
18,INS018,Health Insurer 18,Standard Plan 18,Government,70.0,360967.0,Contact 18,919000000018,claims18@insurer.com,https://insurer18.example.com,8,True,Active
19,INS019,Health Insurer 19,Standard Plan 19,Corporate,73.0,473804.0,Contact 19,919000000019,claims19@insurer.com,https://insurer19.example.com,7,True,Active
20,INS020,Health Insurer 20,Standard Plan 20,Corporate,74.0,773273.0,Contact 20,919000000020,claims20@insurer.com,https://insurer20.example.com,3,True,Active
21,INS021,Health Insurer 21,Standard Plan 21,Government,73.0,626444.0,Contact 21,919000000021,claims21@insurer.com,https://insurer21.example.com,7,True,Active
22,INS022,Health Insurer 22,Standard Plan 22,Government,81.0,408039.0,Contact 22,919000000022,claims22@insurer.com,https://insurer22.example.com,8,True,Active
23,INS023,Health Insurer 23,Standard Plan 23,Government,66.0,924880.0,Contact 23,919000000023,claims23@insurer.com,https://insurer23.example.com,10,True,Active
24,INS024,Health Insurer 24,Standard Plan 24,Government,61.0,824002.0,Contact 24,919000000024,claims24@insurer.com,https://insurer24.example.com,6,True,Active
25,INS025,Health Insurer 25,Standard Plan 25,Private,82.0,259706.0,Contact 25,919000000025,claims25@insurer.com,https://insurer25.example.com,10,True,Active
26,INS026,Health Insurer 26,Standard Plan 26,Corporate,66.0,949045.0,Contact 26,919000000026,claims26@insurer.com,https://insurer26.example.com,7,True,Active
27,INS027,Health Insurer 27,Standard Plan 27,Government,76.0,361990.0,Contact 27,919000000027,claims27@insurer.com,https://insurer27.example.com,7,True,Active
28,INS028,Health Insurer 28,Standard Plan 28,Government,84.0,491859.0,Contact 28,919000000028,claims28@insurer.com,https://insurer28.example.com,11,True,Active
29,INS029,Health Insurer 29,Standard Plan 29,Government,61.0,460007.0,Contact 29,919000000029,claims29@insurer.com,https://insurer29.example.com,11,True,Active
30,INS030,Health Insurer 30,Standard Plan 30,Corporate,91.0,206644.0,Contact 30,919000000030,claims30@insurer.com,https://insurer30.example.com,13,True,Active
31,INS031,Health Insurer 31,Standard Plan 31,Private,62.0,390424.0,Contact 31,919000000031,claims31@insurer.com,https://insurer31.example.com,13,True,Active
32,INS032,Health Insurer 32,Standard Plan 32,Private,65.0,838569.0,Contact 32,919000000032,claims32@insurer.com,https://insurer32.example.com,7,True,Active
33,INS033,Health Insurer 33,Standard Plan 33,Government,73.0,813733.0,Contact 33,919000000033,claims33@insurer.com,https://insurer33.example.com,6,True,Active
34,INS034,Health Insurer 34,Standard Plan 34,Government,70.0,836126.0,Contact 34,919000000034,claims34@insurer.com,https://insurer34.example.com,5,True,Active
35,INS035,Health Insurer 35,Standard Plan 35,Private,83.0,250011.0,Contact 35,919000000035,claims35@insurer.com,https://insurer35.example.com,9,True,Active
36,INS036,Health Insurer 36,Standard Plan 36,Corporate,82.0,348071.0,Contact 36,919000000036,claims36@insurer.com,https://insurer36.example.com,9,True,Active
37,INS037,Health Insurer 37,Standard Plan 37,Corporate,67.0,328610.0,Contact 37,919000000037,claims37@insurer.com,https://insurer37.example.com,10,True,Active
38,INS038,Health Insurer 38,Standard Plan 38,Private,83.0,682840.0,Contact 38,919000000038,claims38@insurer.com,https://insurer38.example.com,3,True,Active
39,INS039,Health Insurer 39,Standard Plan 39,Corporate,95.0,310579.0,Contact 39,919000000039,claims39@insurer.com,https://insurer39.example.com,9,True,Active
40,INS040,Health Insurer 40,Standard Plan 40,Private,82.0,671904.0,Contact 40,919000000040,claims40@insurer.com,https://insurer40.example.com,9,True,Active
